customer_city,order_id,payment_value
carazinho,24,2562.5
santos dumont,22,2559.58
bambui,18,2558.6800000000003
sao joao da barra,15,2548.11
lapa,15,2535.01
pinheiral,14,2529.38
nova andradina,11,2527.55
cacoal,13,2521.83
aguai,10,2509.95
junqueiropolis,15,2505.96
comodoro,7,2504.2799999999997
gravata,11,2494.02
matias barbosa,13,2489.66
cruz das almas,18,2486.57
serrinha,15,2481.6
viradouro,18,2480.93
santa rita do passa quatro,18,2479.13
quarai,4,2474.1499999999996
conchal,19,2464.88
espirito santo do pinhal,18,2464.28
taquaritinga do norte,7,2461.9
paraisopolis,15,2453.2200000000003
sao lourenco do sul,14,2453.15
barao de cocais,18,2452.94
bofete,6,2441.59
varzea da palma,11,2440.97
campos novos,14,2438.37
novo progresso,5,2436.08
igarassu,13,2420.73
nucleo residencial pilar,8,2417.94
buritis,16,2411.2
novo gama,16,2410.2400000000002
conselheiro pena,15,2393.18
mucuri,7,2385.9900000000002
camanducaia,9,2381.76
lagarto,11,2362.35
cachoeiras de macacu,21,2359.41
sacramento,13,2358.54
ico,8,2355.35
tres de maio,12,2334.85
pianco,1,2324.99
palmital,19,2323.7799999999997
igarape,11,2315.96
santo antonio do monte,15,2315.5299999999997
guanhaes,18,2313.75
navirai,8,2313.24
sanharo,3,2310.0
santa ines,15,2308.6800000000003
uruacu,17,2307.27
bombinhas,15,2305.3
caetite,10,2300.45
antonina,10,2285.4
sao mateus do sul,15,2284.52
cambuci,8,2279.92
cristalina,8,2275.49
pirai do sul,7,2269.97
miguelopolis,14,2265.5
visconde do rio branco,19,2265.15
tailandia,4,2256.46
pompeia,17,2252.95
nova esperanca do piria,1,2252.66
caxambu,17,2245.96
timon,15,2242.63
santo anastacio,17,2240.33
paraiso do tocantins,10,2238.86
cedro de sao joao,3,2235.98
santa maria de jetiba,15,2231.06
sao joao batista,11,2229.69
barra velha,16,2228.5099999999998
campo belo,21,2218.31
piracanjuba,10,2211.4
pombal,6,2210.2
cesario lange,13,2209.06
mirassol d'oeste,14,2207.23
itanhandu,14,2201.84
goioere,11,2191.01
santa maria da vitoria,13,2185.07
cocal do sul,4,2182.2400000000002
esplanada,6,2167.2799999999997
morro agudo,10,2163.5299999999997
porangatu,13,2162.74
santa rosa de viterbo,14,2159.19
belo jardim,12,2157.69
jandaia do sul,8,2156.75
maragogi,5,2135.53
eldorado do sul,15,2127.04
charqueadas,17,2125.02
osvaldo cruz,16,2124.36
nova granada,19,2122.45
ceres,7,2116.38
bandeirantes,14,2113.63
esperanca,6,2108.09
engenheiro navarro,1,2106.55
fartura,10,2106.41
cajati,16,2100.69
ipua,4,2096.16
passa quatro,10,2092.36
casa nova,7,2092.32
itaguacu,9,2087.09
niquelandia,14,2085.86
bom jesus dos perdoes,18,2083.93
quatro barras,18,2079.83
camocim,8,2078.27
eloi mendes,10,2077.95
santo amaro,10,2066.74
agrestina,1,2066.34
pariquera-acu,15,2065.21
iturama,15,2064.08
santa vitoria do palmar,12,2049.67
esmeraldas,14,2043.24
sape,2,2042.83
loanda,13,2042.79
itaocara,16,2042.5
leopoldina,17,2038.21
camaqua,13,2037.22
itamarandiba,8,2036.27
conceicao de macabu,13,2035.17
pinhalao,7,2032.35
auriflama,10,2029.77
mangueirinha,9,2022.94
miracema,19,2021.97
guaratuba,9,2017.31
paranaita,4,2016.47
sao francisco do sul,17,2012.77
canaa dos carajas,9,1991.3600000000001
castelo,18,1990.94
ampere,9,1985.95
parobe,12,1985.07
pontes e lacerda,9,1972.9
sao joao do piaui,6,1972.72
itai,10,1972.66
carmo do rio claro,9,1969.5300000000002
sao joaquim de bicas,8,1965.51
alto paraiso de goias,9,1963.35
cedral,9,1956.87
aperibe,13,1953.69
brejo santo,10,1949.35
faxinal dos guedes,11,1948.77
piraquara,14,1947.24
abaete,12,1946.81
mantena,11,1946.55
lagoa da prata,11,1945.7
ipojuca,17,1945.2
ibate,13,1944.1200000000001
palmeira das missoes,16,1943.52
bocaiuva,13,1943.22
catende,7,1941.6799999999998
santana,13,1941.31
santa rita,8,1940.19
paranaiba,15,1937.59
ourilandia do norte,5,1934.3500000000001
cangucu,15,1932.59
carmo do cajuru,10,1932.42
xaxim,10,1928.25
morro da fumaca,7,1921.45
santa fe de goias,4,1921.2700000000002
itajobi,10,1915.73
ronda alta,6,1914.31
chapadao do sul,14,1913.4099999999999
porto nacional,8,1911.38
camamu,9,1897.51
itamaraju,12,1883.32
lagoa vermelha,14,1883.04
itatiaia,18,1882.29
sao simao,14,1879.81
sao gabriel da palha,14,1874.73
sao jose de ribamar,14,1870.87
taquari,11,1870.86
mariental,1,1867.85
montanha,10,1862.77
santa adelia,15,1861.06
paraguacu,13,1857.1
coxim,11,1854.62
campos sales,4,1853.7799999999997
tambau,20,1853.45
jardinopolis,13,1851.48
nova olinda,4,1849.72
bom conselho,7,1848.32
jacunda,6,1844.82
sidrolandia,11,1842.53
nova russas,7,1842.03
carmo,13,1839.51
torres,17,1833.3200000000002
itatinga,4,1832.1
goiana,13,1831.18
corrente,4,1831.15
caconde,10,1829.5700000000002
gameleira,4,1827.12
teutonia,14,1826.22
candido mota,16,1824.1000000000001
beberibe,3,1823.9099999999999
pojuca,13,1820.78
sao francisco de itabapoana,15,1816.41
balneario picarras,10,1815.3
ibia,9,1811.6100000000001
paraibuna,10,1810.75
guariba,14,1810.72
limoeiro do norte,12,1806.8600000000001
ipueiras,3,1805.78
quatro bocas,5,1804.79
pomerode,9,1797.55
senador canedo,16,1790.29
quirinopolis,14,1789.8
pirajui,12,1789.32
minacu,11,1787.83
vazante,6,1780.31
santo amaro de campos,6,1777.56
sao felix do xingu,8,1774.08
cruz,7,1772.56
santana do jacare,4,1769.22
currais novos,8,1769.0900000000001
afonso claudio,11,1767.92
jarinu,19,1767.06
catu,10,1763.24
itapipoca,11,1761.25
nova esperanca,8,1760.46
imbuia,4,1759.81
tapejara,11,1757.73
carmopolis de minas,5,1756.72
vitorino freire,3,1744.37
bezerros,11,1739.95
jacarezinho,17,1738.6
guaramirim,13,1736.26
santa helena de goias,9,1733.6799999999998
flores da cunha,12,1732.5700000000002
ibatiba,9,1724.6
nova olinda do maranhao,4,1724.3299999999997
mostardas,11,1720.33
embu,11,1719.66
reginopolis,3,1719.32
bocaina,7,1719.24
entre rios de minas,7,1709.6200000000001
dom pedrito,10,1708.09
sao goncalo do amarante,12,1705.59
cordeiropolis,16,1705.29
sao bento do una,5,1702.2199999999998
malacacheta,7,1702.21
aracoiaba da serra,11,1701.76
marituba,15,1699.5
buenopolis,5,1698.09
penedo,9,1697.95
santa helena,12,1695.89
lambari,8,1692.91
piranguinho,9,1689.85
andira,11,1688.59
toropi,3,1682.98
palmares,9,1682.92
pimenta bueno,8,1682.01
correia pinto,11,1680.18
mata de sao joao,12,1679.07
cassilandia,5,1677.59
cabedelo,7,1677.5700000000002
bastos,17,1673.94
crissiumal,2,1671.3000000000002
morada nova,10,1668.92
mata verde,6,1667.51
jose bonifacio,12,1666.93
tanabi,11,1666.88
siqueira campos,9,1663.61
itauba,5,1661.9700000000003
sao lourenco da mata,12,1660.2
costa marques,2,1658.28
simonesia,9,1657.65
barreiros,6,1653.7
uruana,4,1650.85
arroio do meio,10,1648.17
garuva,5,1647.66
porto real,7,1645.92
tupaciguara,13,1645.3700000000001
loreto,1,1643.64
guarabira,10,1642.8600000000001
conceicao das alagoas,3,1641.4
acarau,8,1639.94
nova ponte,9,1638.5400000000002
capanema,14,1637.8400000000001
vila valerio,8,1632.29
casca,7,1628.94
formosa do rio preto,3,1628.16
jaguare,14,1618.3799999999999
orleans,8,1617.67
baixo guandu,8,1617.1699999999998
sao joao dos patos,7,1615.47
iguape,14,1615.2
divino,14,1611.72
xinguara,9,1608.51
conceicao do mato dentro,12,1606.34
itapecerica,13,1603.68
lauro muller,8,1597.19
afogados da ingazeira,8,1596.3899999999999
jequitinhonha,11,1595.86
pacaembu,6,1595.0700000000002
marilandia,8,1593.22
ibipora,12,1590.83
mutum,8,1589.8700000000001
bom retiro do sul,3,1588.84
aracuai,9,1588.78
periquito,2,1588.1
baependi,8,1587.39
ipaba,8,1585.26
pirapozinho,14,1582.47
igrejinha,17,1581.6399999999999
aguas formosas,5,1580.57
biritiba-mirim,10,1579.77
barroso,11,1575.52
pinhao,9,1570.99
santana do acarau,4,1563.58
teodoro sampaio,13,1561.19
girua,10,1560.97
altos,5,1560.87
vargem grande do sul,14,1560.05
italva,14,1556.26
itaiopolis,8,1555.42
sao miguel arcanjo,13,1554.3899999999999
corinto,11,1545.63
chapada,4,1545.3300000000002
santo antonio da platina,12,1544.84
sao joao,12,1541.31
nova prata,16,1541.25
floresta,11,1538.78
fatima do sul,4,1536.8600000000001
saloa,3,1536.08
mirandopolis,13,1535.4099999999999
tabapua,12,1535.21
ibitita,1,1534.58
iracemapolis,18,1532.5
campinas do sul,6,1531.2400000000002
sao jose do vale do rio preto,12,1527.66
sao luis de montes belos,8,1524.1299999999999
itabera,7,1522.98
itaqui,9,1522.33
pacajus,6,1520.0
sao miguel do araguaia,5,1518.03
